row_id,group,unit,value
r01,A,u1,83.4
r02,A,u2,68.1
r03,A,u3,89.9
r04,A,u1,83.8
r05,A,u2,74.5
r06,A,u3,67.4
r07,A,u1,70.0
r08,A,u2,75.1
r09,A,u3,75.5
r10,A,u1,63.7
r11,A,u2,66.3
r12,A,u3,88.7
r13,A,u1,79.9
r14,A,u2,60.6
r15,A,u3,68.2
r16,A,u1,88.5
r17,A,u2,68.3
r18,B,u4,19.5
r19,B,u5,17.9
r20,B,u6,14.1
r21,B,u4,18.2
r22,B,u5,18.3
r23,B,u6,13.9
r24,B,u4,14.8
r25,B,u5,17.6
r26,B,u6,16.8
r27,B,u4,15.9
r28,B,u5,18.8
r29,B,u6,12.3
r30,B,u4,14.6
r31,B,u5,15.8
r32,B,u6,13.4
r33,B,u4,14.0
r34,B,u5,13.8
r35,C,u7,81.9
r36,C,u8,68.3
r37,C,u9,61.3
r38,C,u7,7.6
r39,C,u8,6.9
r40,C,u9,93.7
r41,C,u7,7.0
r42,C,u8,4.1
r43,C,u9,97.8
r44,C,u7,7.2
r45,C,u8,77.4
r46,C,u9,6.7
r47,C,u7,4.1
r48,C,u8,40.2
r49,C,u9,7.9
r50,C,u7,6.2
